License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Number,Agency Zone Office Name,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,ZIP,License Certificate Number,License Received Date
2219766,ON-PREMISES LIQUOR,252,OP,2,Albany,ORANGE,GRAND PRIX ORANGE COUNTY LLC,GRAND PRIX ORANGE COUNTY,14 CROSSROADS CT,,NEWBURGH,NY,12550,,11/25/2019
2219768,ON-PREMISES LIQUOR,252,OP,2,Albany,DUTCHESS,"ROOSEVELT BAR LLC, THE",,288 MAIN ST,,BEACON,NY,12508,,11/26/2019
2219770,ON-PREMISES LIQUOR,252,OP,2,Albany,DUTCHESS,S&S 9G FIREHOUSE LLC,,815 VIOLET AVE,,HYDE PARK,NY,12538,,11/26/2019
1323665,TAVERN WINE,344,TW,1,New York City,KINGS,TASK FORCE ZERO LLC,BEAT THE BOMB,247 WATER ST,"STE 103, 105, 106",BROOKLYN,NY,11201,,11/26/2019
2219772,ON-PREMISES LIQUOR,252,OP,2,Albany,DELAWARE,FAITH AMERICAN BREWING COMPANY LLC,,607 RUFF RD,,MIDDLETOWN,NY,12455,,11/26/2019
1323666,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,FURN 403 GRAND INC,MANOUSHEH,403 GRAND ST,,NEW YORK,NY,10002,,11/26/2019
1323667,ON-PREMISES LIQUOR,252,OP,1,New York City,NASSAU,TONYS TACOS AND TEQUILA LLC,,262 JERICHO TPKE,,FLORAL PARK,NY,11001,,11/26/2019
1323669,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,SIDE QUEST LLC,BROOKLAN,45 IRVING AVE ,,BROOKLYN ,NY,11237,,11/26/2019
1323670,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,NOLA BROOKLYN LLC,PROPAGANDA,360 BEDFORD AVE,,BROOKLYN,NY,11249,,11/26/2019
1323671,ON-PREMISES LIQUOR,252,OP,1,New York City,QUEENS,PEREZENTERTAINMENT INC,LALILE,91-01 91-05 ASTORIA BLVD,,E ELMHURST,NY,11369,,11/26/2019
1323673,RESTAURANT WINE,341,RW,1,New York City,NEW YORK,LIVING THAI CORP,,931 AMSTERDAM AVE,,NEW YORK,NY,10025,,11/26/2019
2219774,ON-PREMISES LIQUOR,252,OP,2,Albany,ONEIDA,FRONTIER INN LLC,FRONTIER INN,7949 NEW FLOYD RD,,ROME,NY,13440,,11/26/2019
2219775,ON-PREMISES LIQUOR,252,OP,2,Albany,ONONDAGA,BEAK & SKIFF APPLE FARMS INC,,2708 LORDS HILL RD,,SYRACUSE             ,NY,13084,,11/26/2019
2219779,DIRECT WINE SHIPMENT,308,WS,2,Albany,ALBANY,LAGOSTA WINE CO LLC,LAGOSTA WINE CO,3354 COFFEY LN ,STE A,SANTA ROSA,CA,95403,923029,11/26/2019
2219780,DIRECT WINE SHIPMENT,308,WS,2,Albany,ALBANY,KILLER JUICE LLC,KILLER JUICE,3730 N SILVERADO TRL,,ST HELENA,CA,94574,917991,11/26/2019
2219781,DIRECT WINE SHIPMENT,308,WS,2,Albany,ALBANY,FERNRAY LLC,FERNRAY,6860 SERENITY WAY,,SANTA ROSA,CA,95404,917990,11/26/2019
