License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Number,Agency Zone Office Name,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,ZIP,License Certificate Number,License Received Date
2219941,ON-PREMISES LIQUOR,252,OP,2,Albany,FULTON,EARL GREY FOX LLC,THE LOCAL 5 & DINE,132 S MAIN ST,,NORTHVILLE,NY,12134,,12/10/2019
3164369,MICRO BREWER,101,MI,3,Buffalo,YATES,LAURENTIDE LLC,LAURENTIDE BEER COMPANY,158 MAIN ST,,PENN YAN,NY,14527,,12/10/2019
3164370,FARM BREWER,106,FD,3,Buffalo,YATES,LAURENTIDE LLC,LAURENTIDE BEER COMPANY,158 MAIN ST,,PENN YAN,NY,14527,,12/10/2019
3164371,COMBINED CRAFT MANUFACTURER,110,CM,3,Buffalo,YATES,LAURENTIDE LLC,LAURENTIDE BEER COMPANY,158 MAIN ST,,PENN YAN,NY,14527,,12/10/2019
3164373,BED AND BREAKFAST - 5 BEDRROMS,257,BB,3,Buffalo,YATES,LAURENTIDE LLC,THE LAURENTIDE INN,158 MAIN ST,,PENN YAN,NY,14527,,12/10/2019
1324080,"GROCERY BEER, WINE PROD",122,AX,1,New York City,WESTCHESTER,SKAZ CORPORATION,7 ELEVEN STORE #26784E,1949 COMMERCE ST,,YORKTOWN HEIGHTS,NY,10598,,12/10/2019
1324088,ON-PREMISES LIQUOR,252,OP,1,New York City,RICHMOND,EMILIOS CUCINA CORP,EMILIOS CUCINA,150K GREAVES LANE,,STATEN ISLAND ,NY,10308,,12/10/2019
1324092,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,PUERTO PLATA FISH MARKET INC,OCEANUS BISTRO & BEER GARDEN,391 ARLINGTON AVE,,BROOKLYN,NY,11208,,12/10/2019
2219945,ON-PREMISES LIQUOR,252,OP,2,Albany,COLUMBIA,"POND RESTAURANT LLC, THE",,711 COUNTY RTE 3,,ANCRAMDALE,NY,12503,,12/10/2019
2219951,DIRECT WINE SHIPMENT,308,WS,2,Albany,ALBANY,CHEHALEM INC,CHEHALEM,31190 NE VERITAS LANE,,NEWBURG,OR,97132,923053,12/10/2019
1324093,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,TB CANTINA LLC,TACO BELL ,1501 BROADWAY ,,NEW YORK,NY,10036,,12/10/2019
1324094,ON-PREMISES LIQUOR,252,OP,1,New York City,BRONX,AGAVE RESTAURANT & LOUNGE CORP,,1973 SOUTHERN BLVD,,BRONX,NY,10460,,12/10/2019
1324095,ON-PREMISES LIQUOR,252,OP,1,New York City,NASSAU,D & D ONE STOP CATERING INC,,470 NEWBRIDGE RD,,EAST MEADOW,NY,11554,,12/10/2019
2219957,TEMPORARY WINERY/FARM WINERY,306,FP,2,Albany,ORANGE,CITY WINERY HUDSON VALLEY LLC,,23 FACTORY ST,,MONTGOMERY,NY,12549,564565,12/10/2019
1324098,"GROCERY BEER, WINE PROD",122,AX,1,New York City,NASSAU,MAHANT 33 INC,,33 SUNRISE HWY,,MASSAPEQUA,NY,11758,,12/10/2019
1324101,CATERING ESTABLISHMENT,246,CT,1,New York City,BRONX,BLISSFUL KREATIONS INC,,6661 BROADWAY,,BRONX,NY,10471,,12/10/2019
1324102,"GROCERY BEER, WINE PROD",122,AX,1,New York City,RICHMOND,SI BEACH CORP,AMAZING DELI,643 OCEANSIDE AVE,,STATEN ISLAND,NY,10305,,12/10/2019
1324104,HOTEL LIQUOR,242,HL,1,New York City,NEW YORK,ALLEN STREET HOSPITALITY LLC,,139 ORCHARD STREET,,NEW YORK,NY,10002,,12/10/2019
1324107,"GROCERY BEER, WINE PROD",122,AX,1,New York City,BRONX,MILO FISH & VEGETABLES CORP,,3618 WHITE PLAINS RD,,BRONX,NY,10467,,12/10/2019
1324108,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,JJ & DIANA INC,VIVA MEXICO MEXICAN CUISINE,1577 SAINT NICHOLAS AVE,#4,NEW YORK,NY,10040,,12/11/2019
1324109,LIQUOR STORE,222,L,1,New York City,NASSAU,BOTLIWALA LLC,,1 A E SUNRISE HWY,,FREEPORT,NY,11520,,12/11/2019
1324110,"GROCERY BEER, WINE PROD",122,AX,1,New York City,BRONX,HICKSVILLE FUNDING LLC,,1220 E 233RD ST,,BRONX,NY,10466,,12/11/2019
1324115,CATERING ESTABLISHMENT,246,CT,1,New York City,SUFFOLK,WATER'S EDGE CENTERPORT LLC,WATER'S EDGE,445 E MAIN ST,,CENTERPORT,NY,11721,,12/11/2019
1324118,ON-PREMISES LIQUOR,252,OP,1,New York City,QUEENS,8338 WOODHAVEN REST. INC,DON TEQUILA URBAN CANTINA,83-38 WOODHAVEN BLVD,,GLENDALE,NY,11385,,12/11/2019
1324124,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,HBAR HOLDINGS LLC,BLEU FIN BAR & GRILL,633 NOSTRAND AVE,,BROOKLYN,NY,11216,,12/11/2019
1324125,HOTEL LIQUOR,242,HL,1,New York City,NEW YORK,16 EAST 39TH ST LLC & DEVIN EAST 39 INC,HYATT CENTRIC MIDTOWN EAST 39 ST/DEVIN EAST 39,16 EAST 39TH ST,,NEW YORK,NY,10016,,12/11/2019
1324128,LIQUOR STORE,222,L,1,New York City,NEW YORK,ANGELUS WINE & SPIRITS INC,ANGELUS WINE & SPIRITS,244 5TH AVE ,,NEW YORK,NY,10001,,12/11/2019
1324131,ON-PREMISES LIQUOR,252,OP,1,New York City,WESTCHESTER,SEMPRE NOI LLC,BELLASERA RISTORANTE,1957 PALMER AVE,,LARCHMONT,NY,10538,,12/11/2019
1324134,ON-PREMISES LIQUOR,252,OP,1,New York City,NASSAU,8 BROADWAY TAVERN INC,BROADWAY TAVERN,8 BROADWAY,,MALVERNE,NY,11565,,12/11/2019
1324136,"GROCERY BEER, WINE PROD",122,AX,1,New York City,NASSAU,MAHANT 333 INC,,333 OLD COUNTRY RD,,CARLE PLACE,NY,11514,,12/11/2019
1324138,"GROCERY BEER, WINE PROD",122,AX,1,New York City,RICHMOND,COUZINS FOOD II CORP,ASSOCIATED FRESH,3579 VICTORY BLVD,,STATEN ISLAND,NY,10314,,12/11/2019
2219963,"GROCERY BEER, WINE PROD",122,AX,2,Albany,ROCKLAND,SMILEY MART INC,,327 N MIDDLETOWN RD,,PEARL RIVER,NY,10965,,12/12/2019
2219965,FARM BREWER,106,FD,2,Albany,ESSEX,HEX AND HOP INC,,1719 STATE RTE 3,,BLOOMINGDALE,NY,12913,,12/12/2019
2219966,COMBINED CRAFT MANUFACTURER,110,CM,2,Albany,ESSEX,HEX AND HOP INC,,1719 STATE RTE 3,,BLOOMINGDALE,NY,12913,,12/12/2019
1324142,"GROCERY BEER, WINE PROD",122,AX,1,New York City,NASSAU,AAC CONVENIENCE STORE 2 LLC,,90-12 JERICHO TPKE,,MINEOLA,NY,11501,,12/12/2019
1324144,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,SC LIC LLC,SHAKING CRAB,735 739 NINTH AVE,,NEW YORK,NY,10019,,12/12/2019
1324146,ON-PREMISES LIQUOR,252,OP,1,New York City,QUEENS,B-WAY PARTNERS CORP,HABITS,3203 BROADWAY,,ASTORIA,NY,11106,,12/12/2019
1324147,RESTAURANT WINE,341,RW,1,New York City,QUEENS,LA MORENITA ECUATORIANA RESTAURANT CORP,,100-08 NORTHERN BLVD,,CORONA,NY,11368,,12/12/2019
3164383,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,ALLEGANY,A PLUS CONVENIENCE STORES INC,7 ELEVEN STORE #35116,34 MAIN ST,,CANASERAGA,NY,14822,,12/12/2019
1324151,TAVERN WINE,344,TW,1,New York City,NASSAU,EAST ROCK COFFEE CORP,EAST ROCK COFFEE,100 LONG BEACH RD,,ISLAND PARK,NY,11558,,12/12/2019
3164386,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,STEUBEN,A PLUS CONVENIENCE STORES INC,7 ELEVEN STORE #35092,47 MAIN ST,,ADDISON,NY,14801,,12/12/2019
3164389,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,STEUBEN,A PLUS CONVENIENCE STORES INC,7 ELEVEN STORE #35123,122 VICTORY HWY,,PAINTED POST,NY,14870,,12/12/2019
1324153,ON-PREMISES LIQUOR,252,OP,1,New York City,SUFFOLK,ROMA DI NOTTE RISTORANTE & PIZZERIA INC,PAPA JOSEPHS,457 COUNTRY RD 111,,MANORVILLE,NY,11949,,12/12/2019
3164392,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,ERIE,A PLUS CONVENIENCE STORES INC,7 ELEVEN STORE #11270,749 SHERIDAN AVE,,TONAWANDA,NY,14150,,12/12/2019
3164395,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,MONROE,A PLUS CONVENIENCE STORES INC,7 ELEVEN STORE #11279,3100 E HENRIETTA RD,,HENRIETTA,NY,14467,,12/12/2019
3164398,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,ERIE,A PLUS CONVENIENCE STORES INC,7 ELEVEN STORE #35117,10655 MAIN ST,,CLARENCE,NY,14031,,12/12/2019
3164401,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,GENESEE,A PLUS CONVENIENCE STORES INC,7 ELEVEN STORE #35087,8400 BUFFALO RD,,BERGEN,NY,14416,,12/12/2019
3164404,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,STEUBEN,A PLUS CONVENIENCE STORES INC,7 ELEVEN STORE #35084,26 E NAPLES ST,,WAYLAND,NY,14572,,12/12/2019
3164408,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,ONTARIO,A PLUS CONVENIENCE STORES INC,7 ELEVEN STORE #35115,1735 ST RT 14,,PHELPS,NY,14532,,12/12/2019
3164411,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,CATTARAUGUS,A PLUS CONVENIENCE STORES INC,7 ELEVEN STORE #35110,607 N UNION ST,,OLEAN,NY,14760,,12/12/2019
3164417,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,LIVINGSTON,A PLUS CONVENIENCE STORES INC,7 ELEVEN STORE #35120,189 MAIN ST,,LEICESTER,NY,14481,,12/12/2019
3164420,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,MONROE,A PLUS CONVENIENCE STORES INC,7 ELEVEN STORE #35112,1133 SCOTTSVILLE,,ROCHESTER            ,NY,14624,,12/12/2019
3164423,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,ALLEGANY,A PLUS CONVENIENCE STORES INC,7 ELEVEN STORE #35113,22 MAIN ST,,ALMOND,NY,14804,,12/12/2019
3164426,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,ERIE,A PLUS CONVENIENCE STORES INC,7 ELEVEN STORE #35106,6444 OLEAN RD,,SOUTH WALES,NY,14139,,12/12/2019
3164429,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,LIVINGSTON,A PLUS CONVENIENCE STORES INC,7 ELEVEN STORE #35114,9518 FOSTER WHEELER RD,,DANSVILLE,NY,14437,,12/12/2019
3164432,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,CATTARAUGUS,A PLUS CONVENIENCE STORES INC,7 ELEVEN STORE #35101,269 MAIN ST,,RANDOLPH,NY,14772,,12/12/2019
3164435,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,WYOMING,A PLUS CONVENIENCE STORES INC,7 ELEVEN STORE #35098,64 S MAIN ST,,WARSAW,NY,14569,,12/12/2019
3164438,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,CATTARAUGUS,A PLUS CONVENIENCE STORES INC,7 ELEVEN STORE #35095,183 W MAIN ST,,ALLEGANY,NY,14706,,12/12/2019
3164441,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,GENESEE,A PLUS CONVENIENCE STORES INC,7 ELEVEN STORE #35090,25 S MIAN ST,,OAKFIELD,NY,14125,,12/12/2019
3164444,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,MONROE,A PLUS CONVENIENCE STORES INC,7 ELEVEN STORE #24809,3995 W HENRIETTA RD,,ROCHESTER,NY,14623,,12/12/2019
3164447,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,LIVINGSTON,A PLUS CONVENIENCE STORES INC,7 ELEVEN STORE #35082,40 BIG TREE ST,,LIVONIA,NY,14487,,12/12/2019
3164450,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,LIVINGSTON,A PLUS CONVENIENCE STORES INC,7 ELEVEN STORE #35118,4661 N MAIN ST,,HEMLOCK,NY,14466,,12/12/2019
1324158,"GROCERY BEER, WINE PROD",122,AX,1,New York City,NEW YORK,BUTTERFIELD MARKET GROUP INC,BUTTERFIELD MARKET,12 E 86TH ST,,NEW YORK,NY,10028,,12/12/2019
1324159,ON-PREMISES LIQUOR,252,OP,1,New York City,SUFFOLK,ROCK CITY HOSPITALITY GROUP LTD,ROCK CITY DOGS,3 E MAIN ST,,BAYSHORE,NY,11706,,12/12/2019
3164453,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,ONTARIO,A PLUS CONVENIENCE STORES INC,7 ELEVEN STORE #35085,9169 BUFFALO ALBANY RD,,WEST BLOOMFIELD,NY,14585,,12/12/2019
3164456,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,LIVINGSTON,A PLUS CONVENIENCE STORES INC,7 ELEVEN STORE #35089,1 STATE ST,,NUNDA,NY,14517,,12/12/2019
1324160,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,"GUTTER BAR LES LLC, THE",,242 BROOME ST,BASEMENT LEVEL,NEW YORK,NY,10002,,12/12/2019
3164459,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,LIVINGSTON,A PLUS CONVENIENCE STORES INC,7 ELEVEN STORE #35124,137 MAIN ST,,GENESEO,NY,14454,,12/12/2019
3164462,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,CATTARAUGUS,A PLUS CONVENIENCE STORES INC,7 ELEVEN STORE #35097,55 S MAIN ST,,PORTVILLE,NY,14770,,12/12/2019
1324161,CATERING ESTABLISHMENT,246,CT,1,New York City,KINGS,HUDSON TABLE BK LLC,HUDSON TABLE,88 WITHERS ST,,BROOKLYN,NY,11211,,12/13/2019
1324162,ON-PREMISES LIQUOR,252,OP,1,New York City,SUFFOLK,SALT HARBOR INC,SALTED ON THE HARBOR,14 16 WOODBINE AVE,,NORTHPORT,NY,1768,,12/13/2019
3164468,LIQUOR STORE,222,L,3,Buffalo,ERIE,WINKLER & SAMUELS LLC,WINKLER & SAMUELS,500 SENECA ST ,STE 115,BUFFALO              ,NY,14204,,12/13/2019
3164469,TAVERN WINE,344,TW,3,Buffalo,ERIE,XGEN FACILITY MANAGEMENT LLC,XGEN SPORTS COMPLEX,694 MINERAL SPRINGS RD,,WEST SENECA,NY,14224,,12/13/2019
1324165,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,TBCOMMON LLC,COMMONS,335 MADISON AVE,,NEW YORK,NY,10017,,12/13/2019
1324168,"GROCERY BEER, WINE PROD",122,AX,1,New York City,RICHMOND,COUZINS FOOD CORP,ASSOCIATED FRESH,1579 FOREST AVE,,STATEN ISLAND,NY,10302,,12/13/2019
3164471,ON-PREMISES LIQUOR,252,OP,3,Buffalo,ERIE,FITC GOLF OPERATIONS LLC,"GLEN OAK GOLD CLUB, MAHANEY'S",711 SMITH RD,,EAST AMHERST,NY,14051,,12/13/2019
2219979,GROCERY STORE BEER,122,A,2,Albany,DELAWARE,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #19989,2205 STATE HWY 206,,MASONVILLE,NY,13804,916258,12/13/2019
3164476,GROCERY STORE BEER,122,A,3,Buffalo,CHEMUNG,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #20329,1817 PENNSYLVANIA AVE,,PINE CITY,NY,14871,916257,12/13/2019
1324169,ON-PREMISES LIQUOR,252,OP,1,New York City,SUFFOLK,BROWNSTONES COFFEE CENTERREACH LLC,BROWNSTONES,1759 MIDDLE COUNTRY RD,,CENTERREACH,NY,11720,,12/13/2019
1324171,ON-PREMISES LIQUOR,252,OP,1,New York City,RICHMOND,CABO PAGE AVENUE ASSOCIATES LLC,CABO,96 PAGE AVE,STORES 2 AND 3,STATEN ISLAND,NY,10309,,12/13/2019
3164477,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,CHAUTAUQUA,DK MARKS HH LLC,JUBILEE FOODS,2898 WESTINGHOUSE RD,,HORSEHEADS,NY,14845,,12/13/2019
2219980,ON-PREMISES LIQUOR,252,OP,2,Albany,SCHENECTADY,LT'S MEXICAN GRILL INC,LT'S MEXICAN GRILL ,2305 NOTT STREET EAST,,NISKAYUNA,NY,12309,,12/27/2019
2219983,ON-PREMISES LIQUOR,252,OP,2,Albany,SULLIVAN,SUN & DALE LLC,THE DALE,4 POST HILL RD ,,MOUNTAIN DALE,NY,12763,,12/13/2019
1324176,ON-PREMISES LIQUOR,252,OP,1,New York City,SUFFOLK,PIZZA PROS CORP,CAPELLINI TRATTORIA & PIZZERIA,225 MIDDLE COUNTRY RD,,SELDEN,NY,11784,,12/13/2019
1324178,IMPORTER,208,IL,1,New York City,SUFFOLK,PRIMOS IMPORTS LLC,PRIMOS IMPORTS,401 ACORN STREET,,WYANDANCH,NY,11798,,12/13/2019
3164480,ON-PREMISES LIQUOR,252,OP,3,Buffalo,ERIE,CLASSIC LANES OPERATING LLC,CLASSIC LANES,1840 MILITARY RD,,KENMORE,NY,14217,,12/13/2019
1324179,ON-PREMISES LIQUOR,252,OP,1,New York City,QUEENS,38-12 CORP,SLICE,38-12 BROADWAY,,ASTORIA,NY,11103,,12/13/2019
1324180,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,ARCHWAY ON WATER CORP,ARCHWAY CAFE,68 JAY ST,UNIT 114 - 57B PEARL ST.,BROOKLYN,NY,11201,,12/13/2019
1324181,GROCERY STORE BEER,122,A,1,New York City,QUEENS,J & M CORONA DELI CORP,,91 14 CORONA AVE,,ELMHURST,NY,11373,,12/13/2019
3164483,"GROCERY CHAIN, WINE PROD",128,AX,3,Buffalo,MONROE,A PLUS CONVENIENCE STORES INC,7 ELEVEN STORE #35194,2678 DEWEY AVE,,GREECE,NY,14616,,12/13/2019
1324184,"GROCERY BEER, WINE PROD",122,AX,1,New York City,BRONX,USA 1 FOOD CORP,,529 W 179TH ST,,NEW YORK,NY,10033,,12/13/2019
1324187,"GROCERY BEER, WINE PROD",122,AX,1,New York City,BRONX,S&R FOOD MART CORP,,8 W KINGSBRIDGE RD,,BRONX,NY,10468,,12/13/2019
3164486,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,CHEMUNG,A PLUS CONVENIENCE STORES INC,7 ELEVEN STORE #35251,865 DAVIS ST,,ELMIRA,NY,14901,,12/13/2019
3164490,"GROCERY CHAIN, WINE PROD",128,AX,3,Buffalo,ERIE,A PLUS CONVENIENCE STORES INC,7 ELEVEN STORE #35254,12300 WALDEN AVE,,ALDEN,NY,14004,,12/16/2019
3164494,"GROCERY CHAIN, WINE PROD",128,AX,3,Buffalo,GENESEE,A PLUS CONVENIENCE STORES INC,7 ELEVEN STORE #35200,505 E MAIN ST,,BATAVIA,NY,14020,,12/16/2019
1324196,FARM BREWER,106,FD,1,New York City,KINGS,OHB KENT LLC,OTHER HALF BREWING,266 KENT AVE,RETAIL #3,BROOKLYN,NY,11249,,12/16/2019
1324197,MICRO BREWER,101,MI,1,New York City,KINGS,OHB KENT LLC,OTHER HALF BREWING,266 KENT AVE,RETAIL #3,BROOKLYN,NY,11249,,12/16/2019
1324198,COMBINED CRAFT MANUFACTURER,110,CM,1,New York City,KINGS,OHB KENT LLC,OTHER HALF BREWING,266 KENT AVE,RETAIL #3,BROOKLYN,NY,11249,,12/16/2019
1324202,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,OHB KENT LLC,OTHER HALF BREWING,266 KENT AVE,RETAIL #3,BROOKLYN,NY,11249,,12/16/2019
3164497,SUMMER O.P. FOOD & BEV,548,SL,3,Buffalo,CATTARAUGUS,ARAMARK EDUCATIONAL SERVICES LLC,(ST BONAVENTURE UNIVERSITY GOLF PAVILION),3398 NYS RTE 417,,ALLEGANY,NY,14076,,12/16/2019
2219996,ON-PREMISES LIQUOR,252,OP,2,Albany,ORANGE,MIDTOWN TACO LLC,,610 RTE 211 E,,MIDDLETOWN,NY,10941,,12/16/2019
2219998,"GROCERY CHAIN, WINE PROD",128,AX,2,Albany,ONONDAGA,A PLUS CONVENIENCE STORES INC,7 ELEVEN STORE #35213,123 N MAIN ST,,SYRACUSE             ,NY,13212,,12/16/2019
2220002,"GROCERY BEER, WINE PROD",122,AX,2,Albany,CORTLAND,A PLUS CONVENIENCE STORES INC,7 ELEVEN STORE #35261,76 N MAIN ST,,CORTLAND,NY,13045,,12/16/2019
2220006,ON-PREMISES LIQUOR,252,OP,2,Albany,DUTCHESS,SUGAR & SPICE CAFE INC,,2600 SOUTH RD,,POUGHKEEPSIE,NY,12601,,12/16/2019
1324205,RESTAURANT WINE,341,RW,1,New York City,NASSAU,SHERRY BLOSSOM LLC,,78 W PARK AVE ,,LONG BEACH,NY,11561,,12/17/2019
1324207,RESTAURANT WINE,341,RW,1,New York City,QUEENS,LI'S GARDEN II INC,,38-05 BELL BLVD,,BAYSIDE,NY,11361,,12/17/2019
1324209,ON-PREMISES LIQUOR,252,OP,1,New York City,QUEENS,LA HUECA GUAYACA CORP,,88-09 JAMAICA AVE,,WOODHAVEN ,NY,11421,,12/17/2019
1324211,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,NEW 147 INC,,8732 18TH AVE,,BROOKLYN,NY,11214,,12/17/2019
1324219,EATING PLACE BEER,141,EB,1,New York City,RICHMOND,EL DARI DELI & RESTAURANT CORP,,511 TOMPKINS AVE,,STATEN ISLAND,NY,10305,,12/17/2019
2220013,RESTAURANT WINE,341,RW,2,Albany,DUTCHESS,AGAVE CAFE INC,,1516 RTE 55,1516-1520 RTE 55 STE 13,LAGRANGEVILLE,NY,12540,,12/17/2019
2220015,ON-PREMISES LIQUOR,252,OP,2,Albany,ULSTER,LITTLE APPLE CAFE LLC,,21 TINKER ST,,WOODSTOCK,NY,12498,,12/17/2019
1324222,ON-PREMISES LIQUOR,252,OP,1,New York City,NASSAU,PIRI PIRI GRILL INC ,MADEIRA'S CAFE ,247 MINEOLA BLVD ,,MINEOLA ,NY,11501,,12/17/2019
1324224,"GROCERY BEER, WINE PROD",122,AX,1,New York City,NASSAU,NEW GENERATION AUTO REPAIR INC ,BP ,39 JERICHO TPKE  ,,JERICHO ,NY,11753,,12/17/2019
1324229,LIQUOR STORE,222,L,1,New York City,NEW YORK,AMZING LIQUOR & WINE INC ,HEIGHTS LIQUOR & WINE ,547 W 181ST ST ,,MANHATTAN ,NY,10033,,12/17/2019
2220035,CATERING ESTABLISHMENT,246,CT,2,Albany,JEFFERSON,JOHN J SCORDO AND NANCY A HAY,WINDMILL ACRES,21866 OLD ROME STATE RD,,WATERTOWN,NY,13601,,12/17/2019
1324242,TAVERN WINE,344,TW,1,New York City,KINGS,PASTA LOUISE RESTAURANT LLC,,803 8TH AVE,,BROOKLYN,NY,11215,,12/18/2019
1324243,RESTAURANT WINE,341,RW,1,New York City,NEW YORK,GREAT TASTING 615 INC,SUSHIVA,615 9TH AVE,,NEW YORK,NY,10036,,12/18/2019
1324246,ON-PREMISES LIQUOR,252,OP,1,New York City,BRONX,NYMEX FOOD CORP,HOJA SANTA,40-17 30TH AVE,,ASTORIA,NY,11103,,12/18/2019
1324248,"GROCERY BEER, WINE PROD",122,AX,1,New York City,BRONX,CHARO FOOD CORP,CHARO FOOD CORP,237 E 194TH ST,,BRONX,NY,10458,,12/18/2019
2220036,LIQUOR STORE,222,L,2,Albany,DUTCHESS,APPLE VALLEY WINES AND SPIRITS LLC,APPLE VALLEY WINES AND SPIRITS ,704 FREEDOM PLAINS RD,,POUGHKEEPSIE,NY,12603,,12/18/2019
2220038,"GROCERY BEER, WINE PROD",122,AX,2,Albany,SCHENECTADY,GTB FUEL 3 CORP,,3159 TROY SCHENECTADY RD,3159 TROY RD RTE 7,NISKAYUNA,NY,12309,,12/18/2019
1324251,"GROCERY BEER, WINE PROD",122,AX,1,New York City,BRONX,JB GOURMET DELI CORP,,1822 1824 ARCHER ST,,BRONX,NY,10460,,12/18/2019
1324253,"GROCERY BEER, WINE PROD",122,AX,1,New York City,BRONX,3 WAY DELI GROCERY CORP,,1106 E 216TH ST,,BRONX,NY,10469,,12/18/2019
2220040,ON-PREMISES LIQUOR,252,OP,2,Albany,BROOME,THE AVENUE LOUNGE LLC,,21 WASHINGTON AVE,,ENDICOTT,NY,13790,,12/18/2019
2220042,DIRECT WINE SHIPMENT,308,WS,2,Albany,ALBANY,PINE RIDGE WINERY LLC,SEGHESIO FAMILY VINEYARDS,700 GROVE ST,,HEALDSBURG,CA,95448,923110,12/18/2019
2220045,DIRECT WINE SHIPMENT,308,WS,2,Albany,ALBANY,CHAMISAL VINEYARDS LLC,CHAMISAL VINEYARDS,7525 ORCUTT RD,,SAN LUIS OBISPO,CA,93401,923115,12/18/2019
2220046,DIRECT WINE SHIPMENT,308,WS,2,Albany,ALBANY,DOUBLE CANYON VINEYARDS LLC,DOUBLE CANYON VINEYARDS ,8060 KEENE RD,,WEST RICHLAND,WA,99353,923113,12/18/2019
2220047,DIRECT WINE SHIPMENT,308,WS,2,Albany,ALBANY,PINE RIDGE WINERY LLC,PINE RIDGE WINERY ,5901 SILVERADO TRAIL,,NAPA,CA,94558,923111,12/18/2019
1324256,TAVERN WINE,344,TW,1,New York City,NEW YORK,CHILLHOUSE 75 LLC,CHILLHOUSE,75 VARICK ST,,NEW YORK,NY,10013,,12/18/2019
2220048,DIRECT WINE SHIPMENT,308,WS,2,Albany,ALBANY,PINE RIDGE WINERY LLC,ARCHERY SUMMIT WINERY,18599 NE ARCHERY SUMMIT RD,,DAYTON,OR,97114,923112,12/18/2019
2220049,DIRECT WINE SHIPMENT,308,WS,2,Albany,ALBANY,DOUBLE CANYON VINEYARDS LLC,SEVEN HILLS WINERY,212 N 3RD AVE,,WALLA WALLA,WA,99362,923114,12/18/2019
2220050,DIRECT WINE SHIPMENT,308,WS,2,Albany,ALBANY,FOUR BEARS WINERY LLC,SEAN MINOR WINES,205 JIM OSWALT WAY,STE A,AMERICAN CANYON,CA,94503,923089,12/18/2019
2220052,DIRECT WINE SHIPMENT,308,WS,2,Albany,ALBANY,THATCH WINERY LLC,THATCH WINERY,1650 HARRIS CREEK RD,,CHARLOTTESVILLE,VA,22902,,12/18/2019
1324258,WHOLESALE WINE,303,WW,1,New York City,NASSAU,MARKAT GROUP LLC THE,WINE CONSULTANT GROUP,"182 BIRCH HILL RD, 2ND FLOOR",,LOCUST VALLEY,NY,11560,923166,12/18/2019
1324259,RESTAURANT WINE,341,RW,1,New York City,QUEENS,MICHELADA HOUSE NY INC,,43-24 91ST PL,,ELMHURST,NY,11376,,12/18/2019
1324260,"GROCERY BEER, WINE PROD",122,AX,1,New York City,BRONX,YEDELINE DELI & GROCERY CORP 2,,271 E 166TH ST,,BRONX,NY,10456,,12/18/2019
1324263,"GROCERY BEER, WINE PROD",122,AX,1,New York City,SUFFOLK,MARIN BP INC,,2665 ROUTE 112,,MEDFORD,NY,11763,,12/18/2019
1324273,ON-PREMISES LIQUOR,252,OP,1,New York City,RICHMOND,HOT SHOTZ SPORTS BAR INC,,6319 AMBOY RD,,STATEN ISLAND,NY,10309,,12/19/2019
