,address,city,state,zip,country,lat,lng,Is_Walmart,Is_Walgreens,Is_Target,Is_CVS,Is_Rite,Is_SuperStopnShop
3875,565 West Main St,Springville,NY,14141,US,42.509403999999996,-78.68820699999999,1,0,0,0,1,0
3878,855 East State St,Olean,NY,14760,US,42.075403,-78.411519,1,0,0,1,1,0
3880,2675 North Jerusalem Rd,East Meadow,NY,11554,US,40.706219,-73.536018,1,1,0,1,1,0
3892,101 Pulaski Rd,Kings Park,NY,11754,US,40.88463,-73.260922,0,0,0,0,1,0
3902,13007 20th Ave,College Point,NY,11356,US,40.78197,-73.8383,0,1,1,1,1,0
3904,929 Amsterdam Ave,New York,NY,10025,US,40.800053000000005,-73.965594,0,1,0,1,1,0
3910,3600 Broadway,New York,NY,10031,US,40.828322,-73.94876500000001,0,0,0,0,1,0
3925,100 Chambers St,New York,NY,10007,US,40.714744,-74.007839,0,0,0,0,0,0
3939,1024 1st Avenue,New York,NY,10022,US,40.757715999999995,-73.963245,0,1,0,1,0,0
3946,1556 Ralph Ave,Brooklyn,NY,11236,US,40.639007,-73.919268,0,1,0,1,1,0
3954,3197 Horseblock Road,Medford,NY,11763,US,40.825168,-72.982105,0,1,1,1,1,1
3957,Route 6,Peekskill,NY,10566,US,41.30467,-73.880138,0,0,0,1,1,0
3966,1599 St Nicholas Ave,New York,NY,10040,US,40.854873,-73.929792,0,0,0,1,0,0
3969,103 East Main St,Canton,NY,13617,US,44.597322,-75.148119,0,0,0,0,1,0
3971,24 Newbridge Rd,Hicksville,NY,11801,US,40.76768,-73.52768,0,1,1,1,0,1
3977,279 Troy Rd,Rensselaer,NY,12061,US,42.642096,-73.700119,0,0,0,1,1,0
3978,311 Route 9w,Glenmont,NY,12077,US,42.608940999999994,-73.792463,1,0,0,1,0,0
3979,132 Market St,Potsdam,NY,13676,US,44.679217,-74.986684,1,1,0,0,1,0
3991,3682 State Hwy 30,Broadalbin,NY,12025,US,43.047869,-74.217729,0,0,0,0,0,0
3993,203 Avenue U,Brooklyn,NY,11223,US,40.596734000000005,-73.976713,0,1,0,0,1,0
3999,51 East 34th St,New York,NY,10016,US,40.747576,-73.982311,0,1,0,1,1,0
4005,677 Central Ave,Albany,NY,12206,US,42.675937,-73.785168,0,0,0,1,1,0
4007,25 Route 59,Nyack,NY,10960,US,41.093077,-73.932686,0,0,0,0,0,0
4008,699 Morris Park Ave,Bronx,NY,10462,US,40.845242999999996,-73.866268,0,1,0,1,1,0
4010,30 W Main St,Washingtonville,NY,10992,US,41.427453,-74.169134,0,0,0,1,0,0
4011,14 North Airmont Rd,Suffern,NY,10901,US,41.114771000000005,-74.113928,1,1,0,1,0,0
4012,573 Lafayette Ave,Brooklyn,NY,11205,US,40.690075,-73.951629,0,1,0,0,0,0
4017,1106 Hempstead Tpke,Franklin Square,NY,11010,US,40.708312,-73.68117099999999,0,1,0,1,1,0
4044,1197 Route 208,Monroe,NY,10950,US,41.380041,-74.174066,1,0,1,1,1,1
4048,1403 Brentwood Rd,Bayshore,NY,11706,US,40.7459,-73.241168,0,0,1,1,1,0
4050,1050 State Route 36,Hornell,NY,14843,US,42.349793,-77.668934,1,0,0,0,1,0
4054,460 Fairview Ave,Hudson,NY,12534,US,42.278276,-73.750847,1,1,0,1,1,0
4055,2285 Walden Ave,Cheektowaga,NY,14225,US,42.907173,-78.75238399999999,1,0,1,0,1,0
4057,2260 Niagara Falls Boulevard,Niagara Falls,NY,14304,US,43.098791999999996,-78.926761,1,0,1,0,1,0
4058,3 Dover Village Plaza,Dover Plains,NY,12522,US,41.734331,-73.580443,0,0,0,1,0,0
